id,igdb_id,csv_title,igdb_title,title_match,csv_cover_url,igdb_cover_url,cover_match,nominator,comment,audit_status
5c36fcf9-8a6e-46c4-9ec2-8c566c194c34,418,Final Fantasy X,Final Fantasy X,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co1tr1.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tr1.jpg,Match,Lucas,,OK
78286006-60a1-4385-9bff-328abcc1dbcb,348330,Forza Horizon 6,Forza Horizon 6,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/cobc5n.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/cobc5n.jpg,Match,Matheus,,OK
d28fbf26-1c09-4752-8d73-bd05b04c4b5b,7293,Gauntlet,Gauntlet,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co2fon.webp,https://images.igdb.com/igdb/image/upload/t_cover_big/co2fon.jpg,Match,Yan,,OK
db980838-5e20-4740-aea4-c4ddfda15009,5844,Gauntlet Seven Sorrows,Gauntlet: Seven Sorrows,Punctuation Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/co5j83.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co5j83.jpg,Match,Lucas,,MINOR_TITLE_DEVIATION (PUNCTUATION_MISMATCH)
7d8aab68-2e3a-447e-9e19-09ec73a9d9d2,119308,Ghostwire: Tokyo,Ghostwire: Tokyo,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co55xn.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co55xn.jpg,Match,Lucas,,OK
c263e492-c1d6-44b5-9539-1a0678f1a587,549,God of War,God of War,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co3ddc.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co3ddc.jpg,Match,Lucas,,OK
62f05656-04cc-4e97-b7d5-59507efb14ed,1907,Grim Dawn,Grim Dawn,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co41h4.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co41h4.jpg,Match,Matheus,,OK
1682566d-b758-463b-9d3d-9e0571d36118,4838,Guacamelee!,Guacamelee!,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co2g6i.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co2g6i.jpg,Match,Matheus,,OK
de3b0a59-2995-4b9f-b389-0eed9c02efc3,2671,Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wqm.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wqm.jpg,Match,Lucas,,OK
102fc52e-6e33-4b23-9463-d6f8ebc7da41,113112,Hades,Hades,Match,https://images.igdb.com/igdb/image/upload/t_1080p/cob9kr.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9kr.jpg,Match,Matheus,,OK
